ablation_config,n,overall_score_mean,overall_score_std,carbon_per_completed_job_mean,avg_jct_mean,tail_jct_mean,overall_score_ci,diff_vs_full_mean,diff_vs_full_ci_low,diff_vs_full_ci_high,diff_vs_full_p
Full Ensemble,6,0.4870866662270477,0.1991164591434588,0.3419829107402543,1.292738404007313,5.692361111111105,0.15932634993512798,,,,
Without ET,6,0.4060310775849341,0.1328483014539329,0.34068982948091214,1.3523751750429132,5.688888888888884,0.10630078024080822,-0.08105558864211355,-0.20124499915581076,0.022209247681778767,0.153
Without GB,6,0.38537844578787667,0.17885777994113292,0.342331862782894,1.268843837532013,5.624999999999994,0.14311603047837348,-0.10170822043917103,-0.2126674474320888,-0.017892444503586003,0.002
Without LR,6,0.46654235715125797,0.20164299330777263,0.3419502237282335,1.2900454882016463,5.667361111111105,0.16134799831175214,-0.0205443090757897,-0.05121699972593566,0.0019413329106147497,0.177
Without RF,6,0.5841432926628626,0.17245404106799664,0.34192529418626344,1.4335423795065843,5.936111111111107,0.13799197220120513,0.09705662643581485,-0.12730655190141757,0.4032925145295781,0.552
