seed,noise_pct,congestion,capacity,srtf_score,ensemble_score,performance_gap,srtf_carbon_per_job,ensemble_carbon_per_job,srtf_avg_jct,ensemble_avg_jct
0,10.0,moderate,6,0.44999999999999996,0.55,0.10000000000000009,0.4270830329457126,0.42550603518241975,0.8879107981220656,0.9196428571428571
0,10.0,moderate,8,0.44999999999999996,0.55,0.10000000000000009,0.5223452975877095,0.4885693177767677,0.8538812785388127,1.0384615384615385
0,10.0,high,6,0.44999999999999996,0.55,0.10000000000000009,0.34143843425424336,0.3367167814063297,1.0460829493087556,1.2253086419753085
0,10.0,high,8,0.44999999999999996,0.55,0.10000000000000009,0.39558968213718804,0.39444351526272775,0.9420777279521674,1.0337837837837838
0,20.0,moderate,6,0.44999999999999996,0.55,0.10000000000000009,0.4247451706000193,0.4177354391891919,0.8879107981220656,0.913690476190476
0,20.0,moderate,8,0.44999999999999996,0.55,0.10000000000000009,0.519245847726071,0.48716159517662805,0.8538812785388127,0.998251748251748
0,20.0,high,6,0.44999999999999996,0.55,0.10000000000000009,0.3373869872917874,0.333011974021597,1.0460829493087556,1.2272376543209875
0,20.0,high,8,0.44999999999999996,0.55,0.10000000000000009,0.39175237078361624,0.3915349790713703,0.9420777279521674,0.9932126696832579
1,10.0,moderate,6,0.7,0.30000000000000004,-0.3999999999999999,0.424164874281176,0.42204844901609184,1.036781609195402,1.0601851851851851
1,10.0,moderate,8,0.44999999999999996,0.55,0.10000000000000009,0.5184798497320368,0.502339998321968,1.0135135135135136,1.169481981981982
1,10.0,high,6,0.44999999999999996,0.55,0.10000000000000009,0.32676071795940004,0.32541877259662555,1.30848623853211,1.4459876543209875
1,10.0,high,8,0.44999999999999996,0.55,0.10000000000000009,0.39155847685705114,0.3873595427758859,1.10949177877429,1.1564856711915537
1,20.0,moderate,6,0.7,0.30000000000000004,-0.3999999999999999,0.41718539380011016,0.415227053368339,1.036781609195402,1.0572916666666667
1,20.0,moderate,8,0.44999999999999996,0.55,0.10000000000000009,0.5091866956133013,0.49504126336919213,1.0135135135135136,1.1424549549549552
1,20.0,high,6,0.1,0.9,0.8,0.3253503997679023,0.32566647040100827,1.30848623853211,1.4105222734254992
1,20.0,high,8,0.44999999999999996,0.55,0.10000000000000009,0.3896869673746551,0.3862210971034728,1.10949177877429,1.1873123123123122
2,10.0,moderate,6,0.44999999999999996,0.55,0.10000000000000009,0.46687064899474956,0.46659451938841934,1.3202614379084967,1.4384531590413943
2,10.0,moderate,8,0.44999999999999996,0.55,0.10000000000000009,0.5542644482422718,0.5475385597429839,0.9983660130718954,1.4424731182795698
2,10.0,high,6,0.7,0.30000000000000004,-0.3999999999999999,0.3413754048372705,0.3383690241569166,1.5328171091445426,1.870907738095238
2,10.0,high,8,0.35,0.65,0.30000000000000004,0.4228450850866766,0.4258584110347731,1.2707439198855508,1.406204906204906
2,20.0,moderate,6,0.44999999999999996,0.55,0.10000000000000009,0.4671481525490866,0.4661798397838554,1.3202614379084967,1.4275599128540304
2,20.0,moderate,8,0.44999999999999996,0.55,0.10000000000000009,0.5546584202234953,0.5450453266770597,0.9983660130718954,1.4150537634408602
2,20.0,high,6,0.1,0.65,0.55,0.34006862722508513,0.34085250816818474,1.5328171091445426,1.7092592592592588
2,20.0,high,8,0.35,0.65,0.30000000000000004,0.42112702128130286,0.4219828574049509,1.2707439198855508,1.4087301587301588
3,10.0,moderate,6,0.44999999999999996,0.55,0.10000000000000009,0.5055469807032608,0.4842073204534074,0.9217002237136465,1.1085011185682325
3,10.0,moderate,8,0.7,0.30000000000000004,-0.3999999999999999,0.6165199718559621,0.612709055589102,1.0980392156862744,1.1123903508771928
3,10.0,high,6,0.65,0.35,-0.30000000000000004,0.3504180299980164,0.3477291187108505,1.1445966514459665,1.1368501529051986
3,10.0,high,8,0.9,0.1,-0.8,0.4434850155465763,0.43889813311757647,1.0870206489675516,1.082962962962963
3,20.0,moderate,6,0.44999999999999996,0.55,0.10000000000000009,0.5050542299773648,0.48302818004868087,0.9217002237136465,1.1118568232662194
3,20.0,moderate,8,0.7,0.30000000000000004,-0.3999999999999999,0.615557010966377,0.6099909304349925,1.0980392156862744,1.1101973684210527
3,20.0,high,6,0.9,0.1,-0.8,0.3524414413527489,0.3496016949760072,1.1445966514459665,1.135703363914373
3,20.0,high,8,0.44999999999999996,0.55,0.10000000000000009,0.44615285519726017,0.44288984307126655,1.0870206489675516,1.0948148148148147
