component,mean_latency_ms,std_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
Ensemble Inference,75.21506147384643,33.58049769790261,65.0254487991333,128.02448272705078,204.02348756790184
Heuristic Dispatch,0.018330445289611818,0.18530191822394543,0.0,0.0,0.99945068359375
